Ligand_name,Status
Z8004438461,SUCCESS
Z9066871695,SUCCESS
Z9931711111,SUCCESS
Z9974046129,SUCCESS
Z6739964197,SUCCESS
Z8999152120,SUCCESS
Z3337907465,SUCCESS
Z8999137659,SUCCESS
Z7371455801,SUCCESS
Z9680031342,SUCCESS
Z4405691613,SUCCESS
Z9931711111,SUCCESS
Z8712215717,SUCCESS
Z9186213994,SUCCESS
Z2802092050,SUCCESS
Z6142609813,SUCCESS
Z29050758,SUCCESS
Z1762659386,SUCCESS
Z8363116448,SUCCESS
Z9931711111,SUCCESS
Z1444209425,SUCCESS
Z6585033334,SUCCESS
Z3570266438,SUCCESS
Z2581568621,SUCCESS
Z8695231245,SUCCESS
Z4071426342,SUCCESS
Z9217487089,SUCCESS
Z9069638073,SUCCESS
Z6741343215,SUCCESS
Z4312892119,SUCCESS
Z8716696883,SUCCESS
Z8976177009,SUCCESS
Z2206333025,SUCCESS
Z1555912729,SUCCESS
Z8480587309,SUCCESS
Z8480587309,SUCCESS
Z6739527684,SUCCESS
Z9822138036,SUCCESS
Z8189768976,SUCCESS
Z3808542606,SUCCESS
Z9086224865,SUCCESS
Z9675746569,SUCCESS
Z605720006,SUCCESS
Z1348402137,SUCCESS
Z4153218661,SUCCESS
Z3507304124,SUCCESS
Z804132174,SUCCESS
Z7991096024,SUCCESS
Z8753997896,SUCCESS
Z8753997896,SUCCESS
Z9159452020,SUCCESS
Z9731016584,SUCCESS
Z2353393640,SUCCESS
Z3347605082,SUCCESS
Z9573597489,SUCCESS
Z3831714135,SUCCESS
Z1762658631,SUCCESS
Z5189021025,SUCCESS
Z2292007160,SUCCESS
Z9062085796,SUCCESS
Z1762658631,SUCCESS
Z1744468712,SUCCESS
Z9061896663,SUCCESS
Z7037918342,SUCCESS
Z2792805419,SUCCESS
Z9240184300,SUCCESS
Z4305777291,SUCCESS
Z9854736663,SUCCESS
Z9327948392,SUCCESS
Z2169334416,SUCCESS
Z7662187558,SUCCESS
Z9667173184,SUCCESS
Z8781415912,SUCCESS
Z8984248855,SUCCESS
Z6476401156,SUCCESS
Z6313975590,SUCCESS
Z9062083741,SUCCESS
Z9078810906,SUCCESS
Z9466013744,SUCCESS
Z9148348450,SUCCESS
Z1869543632,SUCCESS
Z8975500722,SUCCESS
Z9597557423,SUCCESS
Z9255356609,SUCCESS
Z9929964349,SUCCESS
Z2467017831,SUCCESS
Z9241054378,SUCCESS
Z6964644847,SUCCESS
Z5215943644,SUCCESS
Z6255006140,SUCCESS
Z5431985562,SUCCESS
Z2169334416,SUCCESS
Z1603605967,SUCCESS
Z1147519254,SUCCESS
Z3226334157,SUCCESS
Z6739710632,SUCCESS
Z6974016140,SUCCESS
Z1263827007,SUCCESS
Z9990970254,SUCCESS
Z6739559321,SUCCESS
Z3773900444,SUCCESS
Z9218996063,SUCCESS
Z9256224330,SUCCESS
Z9070742512,SUCCESS
Z9091588524,SUCCESS
Z1684354677,SUCCESS
Z2144320145,SUCCESS
Z6690209957,SUCCESS
Z2040559488,SUCCESS
Z4378829395,SUCCESS
Z6313970048,SUCCESS
Z9062105708,SUCCESS
Z3892921820,SUCCESS
Z2144320145,SUCCESS
Z9815977632,SUCCESS
Z8773300714,SUCCESS
Z8909802326,SUCCESS
Z3288931566,SUCCESS
Z9823253175,SUCCESS
Z3092861078,SUCCESS
Z4906883634,SUCCESS
Z8864650141,SUCCESS
Z1212839580,SUCCESS
Z9852025852,SUCCESS
Z3831706616,SUCCESS
Z9669256181,SUCCESS
Z8771525623,SUCCESS
Z4151937105,SUCCESS
Z9236798067,SUCCESS
Z8984267110,SUCCESS
Z3547935676,SUCCESS
Z8978439021,SUCCESS
Z9314607547,SUCCESS
Z9458594169,SUCCESS
Z8319373589,SUCCESS
Z4076365176,SUCCESS
Z2057217255,SUCCESS
Z9419105753,SUCCESS
Z6742611731,SUCCESS
Z3999475173,SUCCESS
Z8773060309,SUCCESS
Z9609123104,SUCCESS
Z9094569290,SUCCESS
Z2026326897,SUCCESS
Z2057217255,SUCCESS
Z9254533079,SUCCESS
Z4571772469,SUCCESS
Z5341469287,SUCCESS
Z9254971894,SUCCESS
Z9577114900,SUCCESS
Z6480520313,SUCCESS
Z9062089231,SUCCESS
Z8773060309,SUCCESS
Z1444940539,SUCCESS
Z9124291221,SUCCESS
Z9653710684,SUCCESS
Z8781434244,SUCCESS
Z9062083510,SUCCESS
Z5530855927,SUCCESS
Z2332310822,SUCCESS
Z1762660487,SUCCESS
Z9148348683,SUCCESS
Z9597229023,SUCCESS
Z1573682456,SUCCESS
Z8635255350,SUCCESS
Z2234881885,SUCCESS
Z1641150365,SUCCESS
Z3206232891,SUCCESS
Z9128121732,SUCCESS
Z9128121732,SUCCESS
Z6692166730,SUCCESS
Z3508690273,SUCCESS
Z8556142638,SUCCESS
Z3256646215,SUCCESS
Z7371467655,SUCCESS
Z9061818313,SUCCESS
Z7865700084,SUCCESS
Z1573682456,SUCCESS
Z8635255350,SUCCESS
Z4448541216,SUCCESS
Z8745695338,SUCCESS
Z3009614540,SUCCESS
Z2897264173,SUCCESS
Z9591742435,SUCCESS
Z9764864989,SUCCESS
Z9492987786,SUCCESS
